cancel	取消	
buy_train_ticket	我要坐本月8日的高铁	3:4:日期时间
weather_general	浙江省温州市苍南县藻溪镇天气咋样	0:12:地点
inform	从深圳出发	1:2:出发地
deny	不行	
buy_train_ticket	我想买最近的高铁票	3:2:日期时间
cancel	算了吧	
weather_general	查一下天气	
weather_condition	下月二十二日有冰雹吗？	0:6:日期时间|7:2:天气现象
buy_train_ticket	我要买高铁票	
inform	去杭州	1:2:目的地
buy_ticket	我要买票	
weather_condition	天城镇有没有雨	0:3:地点|6:1:天气现象
inform	去徐州市	1:3:目的地
affirm	就这样吧	
deny	不对	
buy_flight_ticket	帮我买票,从浦东国际机场出发	6:6:出发地
buy_ticket	帮我买票	
deny	不是	
buy_train_ticket	我要坐高铁去上海火车站	6:5:目的地
buy_ticket	我想要买票	
buy_ticket	我要买元旦的票	3:2:日期时间
buy_train_ticket	我想买去杭州站的车票	4:3:目的地
inform	在大兴机场落地	1:4:目的地
weather_general	广东省惠州市惠阳区秋长镇的天气怎么样	0:12:地点
affirm	行	
affirm	是的	
buy_train_ticket	我要乘高铁去上海南站	6:4:目的地
weather_condition	董家埂乡会不会下雨	0:4:地点|8:1:天气现象
affirm	可以	
weather_general	干县姜村镇天气如何	0:5:地点
weather_general	一月二十三日四川省南充市顺庆区舞凤街道的天气	0:6:日期时间|6:13:地点
deny	我不同意	
buy_train_ticket	我要坐这阵子的高铁	3:3:日期时间
deny	不可以	
weather_general	查天气	
weather_condition	后年的6月四号有没有冰雹	0:7:日期时间|10:2:天气现象
buy_flight_ticket	我要坐这几天的飞机	3:3:日期时间
inform	明年十月的23号的	0:8:日期时间
buy_ticket	我想买票	
buy_flight_ticket	我要买票,从大兴机场起飞	6:4:出发地
affirm	确认	
weather_condition	安徽省滁州市全椒县复兴乡会下冰雹吗	0:12:地点|14:2:天气现象
buy_ticket	帮我买去重庆的票	4:2:目的地
buy_flight_ticket	我想乘飞机从天津市起飞	6:3:出发地
inform	在首都国际机场落地	1:6:目的地
weather_condition	最近有雾霾么	0:2:日期时间|3:2:天气现象
buy_flight_ticket	我想买从浦东国际机场出发的票	4:6:出发地
inform	从重庆市出发	1:3:出发地
inform	我从上海南站出发	2:4:出发地
inform	在白云机场落地	1:4:目的地
weather_condition	河南省平顶山市舞钢市院岭街道会打雷吗?	0:14:地点|16:1:天气现象
affirm	我确定	
buy_ticket	帮我买去天津市的票	4:3:目的地
buy_flight_ticket	帮我买飞往大兴机场的票	5:4:目的地
buy_flight_ticket	帮我买飞往浦东国际机场的票	5:6:目的地
weather_general	这阵子连城县莲峰镇天气咋样	0:3:日期时间|3:6:地点
buy_flight_ticket	我想乘二零四八年七月17号的飞机	3:10:日期时间
buy_flight_ticket	帮我买去浦东机场的票	4:4:目的地
weather_general	1月的二十七号的运河西街道天气咋样	0:7:日期时间|8:5:地点
inform	从蚌埠出发	1:2:出发地
buy_flight_ticket	帮我买去武汉的机票	4:2:目的地
inform	周六	0:2:日期时间
buy_train_ticket	我想坐去徐州的高铁	4:2:目的地
weather_condition	本月二十二号有冰雹么	0:6:日期时间|7:2:天气现象
buy_ticket	我想要买去重庆的票	5:2:目的地
weather_condition	顺义区大孙各庄有没有冰雹	0:7:地点|10:2:天气现象
buy_flight_ticket	我想买票,从大兴机场起飞	6:4:出发地
buy_flight_ticket	我想买飞往虹桥机场的票	5:4:目的地
buy_train_ticket	帮我买火车票	
deny	反对	
buy_flight_ticket	我想要乘飞机飞往虹桥机场	8:4:目的地
weather_condition	普宁洪阳有冰雹吗	0:4:地点|5:2:天气现象
buy_flight_ticket	我要买从上海出发的飞机票	4:2:出发地
weather_condition	最近有没有可能打雷	0:2:日期时间|8:1:天气现象
weather_general	帮忙报天气如何	
buy_flight_ticket	我想买机票	
inform	北京东站	0:4:地点
weather_condition	下个月五日有没有雾霾	0:5:日期时间|8:2:天气现象
